System,School,FRL
Appling County,Altamaha Elementary School,66.2
Appling County,Appling County High School,64.09
Appling County,Appling County Primary School,81.47
Appling County,Fourth District Elementary School,77.19
Appling County,Appling County Elementary School,80.22
Appling County,Appling County Middle School,71.41
Atkinson County,Atkinson County High School,84.93
Atkinson County,Atkinson County Middle School,84.92
Atkinson County,Pearson Elementary School,
Atkinson County,Willacoochee Elementary School,
Atlanta Public Schools,Atlanta Classical Academy,
Atlanta Public Schools,Continental Colony Elementary School,
Atlanta Public Schools,School of Health Sciences and Research at Carver,
Atlanta Public Schools,Hutchinson Elementary School,
Atlanta Public Schools,Booker T. Washington High School,
Atlanta Public Schools,M. A. Jones Elementary School,
Atlanta Public Schools,Dunbar Elementary School,
Atlanta Public Schools,South Atlanta Law and Social Justice School,
Atlanta Public Schools,Barack and Michelle Obama Academy,
Atlanta Public Schools,Bazoline E. Usher/Collier Heights Elmentary School,
Atlanta Public Schools,Bunche Middle School,
Atlanta Public Schools,Bethune Elementary School,
Atlanta Public Schools,South Atlanta School of Health and Medical Science,
Atlanta Public Schools,Young Middle School,
Atlanta Public Schools,Kipp WAYS Primary School,
Atlanta Public Schools,KIPP Vision Primary,
Atlanta Public Schools,Whitefoord Elementary School,
Atlanta Public Schools,Charles R. Drew Charter School,50.32
Atlanta Public Schools,Grady High School,36.73
Atlanta Public Schools,Kimberly Elementary School,
Atlanta Public Schools,Crim High School,
Atlanta Public Schools,Slater Elementary School,
Atlanta Public Schools,Garden Hills Elementary School,65.88
Atlanta Public Schools,Scott Elementary School,
Atlanta Public Schools,Connally Elementary School,
Atlanta Public Schools,Douglass High School,
Atlanta Public Schools,Morningside Elementary School,9.68
Atlanta Public Schools,Kipp Strive Academy,73.51
Atlanta Public Schools,APS-Forrest Hills Academy,
Atlanta Public Schools,Centennial Academy,79.73
Atlanta Public Schools,Jackson Elementary School,5.55
Atlanta Public Schools,Fickett Elementary School,
Atlanta Public Schools,Toomer Elementary School,
Atlanta Public Schools,Perkerson Elementary School,
Atlanta Public Schools,KIPP West Atlanta Young Scholars Academy,
Atlanta Public Schools,Venetian Hills Elementary School,
Atlanta Public Schools,Woodson Primary School,
Atlanta Public Schools,Wesley International Academy Charter Facility,50.45
Atlanta Public Schools,Sylvan Hills Middle School,
Atlanta Public Schools,Inman Middle School,32.58
Atlanta Public Schools,Parkside Elementary School,
Atlanta Public Schools,Boyd Elementary School,
Atlanta Public Schools,KIPP VISION,
Atlanta Public Schools,Westside Atlanta Charter School,41.46
Atlanta Public Schools,Maynard H. Jackson  Jr. High School,
Atlanta Public Schools,Therrell High School,
Atlanta Public Schools,Cleveland Elementary School,
Atlanta Public Schools,Fain Elementary School,
Atlanta Public Schools,West Manor Elementary School,
Atlanta Public Schools,Atlanta Neighborhood Charter - Middle,30.38
Atlanta Public Schools,Finch Elementary,
Atlanta Public Schools,Charles Drew Charter School JA/SA,79.74
Atlanta Public Schools,Springdale Park Elementary School,9.98
Atlanta Public Schools,Hillside Conant School,
Atlanta Public Schools,Towns Elementary School,
Atlanta Public Schools,B.E.S.T Academy,
Atlanta Public Schools,Grove Park Intermediate School,
Atlanta Public Schools,Early College High School at Carver,
Atlanta Public Schools,KIPP Atlanta Collegiate,
Atlanta Public Schools,Smith Elementary School,22.55
Atlanta Public Schools,Corretta Scott King Womens' Leadership Academy,
Atlanta Public Schools,Beecher Hills Elementary School,
Atlanta Public Schools,Atlanta Neighborhood Charter - Elementary,9.95
Atlanta Public Schools,The John Hope-Charles Walter Hill Elementary Schools,
Atlanta Public Schools,School of Technology at Carver,
Atlanta Public Schools,Brandon Elementary School,9.44
Atlanta Public Schools,Kindezi,79.76
Atlanta Public Schools,Bolton Academy,57.03
Atlanta Public Schools,Burgess-Peterson Elementary School,
Atlanta Public Schools,Latin Academy Charter School,
Atlanta Public Schools,Heritage Academy Elementary,
Atlanta Public Schools,The School of the Arts at Carver,
Atlanta Public Schools,Mays High School,
Atlanta Public Schools,Sutton Middle School,40.03
Atlanta Public Schools,KIPP Strive Primary,
Atlanta Public Schools,North Atlanta High School,36.91
Atlanta Public Schools,Gideons Elementary School,
Atlanta Public Schools,Adamsville Primary School,
Atlanta Public Schools,Deerwood Academy School,
Atlanta Public Schools,Rivers Elementary School,35.47
Atlanta Public Schools,Long Middle School,
Atlanta Public Schools,Harper-Archer Middle School,
Atlanta Public Schools,Cascade Elementary School,
Atlanta Public Schools,Brown Middle School,
Atlanta Public Schools,South Atlanta School of Computer Animation and Design,
Atlanta Public Schools,Thomasville Heights Elementary School,
Atlanta Public Schools,Benteen Elementary School,
Atlanta Public Schools,Price Middle School,
Atlanta Public Schools,Peyton Forest Elementary School,
Atlanta Public Schools,Lin Elementary School,7.92
Atlanta Public Schools,F. L. Stanton Elementary School,
Atlanta Public Schools,Miles Intermediate School,
Atlanta Public Schools,Dobbs Elementary School ,
Atlanta Public Schools,Humphries Elementary School,
Atlanta Public Schools,King Middle School,
Bacon County,Bacon County Elementary School,86.54
Bacon County,Bacon County Middle School,66.96
Bacon County,Bacon County High School,57.19
Bacon County,Bacon County Primary School,86.49
Baker County,Baker County K12 School,
Baldwin County,Midway Elementary School,87.83
Baldwin County,Baldwin High School,83.97
Baldwin County,Creekside Elementary School,67.65
Baldwin County,Oak Hill MS,83.89
Baldwin County,Eagle Ridge Elementary School,
Baldwin County,Blandy Hills Elementary School,83.6
Banks County,Banks County Primary School,68.22
Banks County,Banks County Elementary School,67.97
Banks County,Banks County Middle School,66.01
Banks County,Banks County High School,57.05
Barrow County,Apalachee High School,56
Barrow County,Auburn Elementary School,73.62
Barrow County,Bramlett Elementary School,42.35
Barrow County,Statham Elementary School,57.42
Barrow County,Kennedy Elementary School,69.48
Barrow County,County Line Elementary School,70.75
Barrow County,Russell Middle School,55.72
Barrow County,Bethlehem Elementary School,58.31
Barrow County,Haymon-Morris Middle School,54.82
Barrow County,Winder-Barrow High School,51.71
Barrow County,Bear Creek Middle School,60.02
Barrow County,Yargo Elementary School,49.5
Barrow County,Holsenbeck Elementary School,63.06
Barrow County,Westside Middle School,66.03
Bartow County,Emerson Elementary School,75.57
Bartow County,Cass High School,56.15
Bartow County,Clear Creek Elementary School,57.23
Bartow County,Cloverleaf Elementary,69.79
Bartow County,Adairsville Elementary School,55.73
Bartow County,Mission Road Elementary School,61.86
Bartow County,Pine Log Elementary,65.14
Bartow County,Hamilton Crossing Elementary School,57.75
Bartow County,White Elementary School,61.79
Bartow County,Cass Middle School,62.33
Bartow County,Taylorsville Elementary School,56.3
Bartow County,Euharlee Elementary School,52.15
Bartow County,Adairsville Middle School,55.62
Bartow County,South Central Middle School,74.27
Bartow County,Woodland High School,46.99
Bartow County,Adairsville High School,43.46
Bartow County,Kingston Elementary School,82.6
Bartow County,Allatoona Elementary School,80.05
Bartow County,Woodland Middle School at Euharlee,50.56
Ben Hill County,Ben Hill County Middle School,
Ben Hill County,Ben Hill County Primary School,
Ben Hill County,Fitzgerald High School,
Ben Hill County,Ben Hill Elementary School,
Berrien County,Berrien Academy Performance Learning Center,82.86
Berrien County,Berrien High School,83.56
Berrien County,Berrien Middle School,83.55
Berrien County,Berrien Primary School,83.5
Berrien County,Berrien Elementary School,83.56
Bibb County,LakeBridge Behavioral Health System,
Bibb County,Rutland Middle School,
Bibb County,Southwest High School,
Bibb County,Morgan Elementary School,
Bibb County,Heard Elementary School,
Bibb County,Porter Elementary School,
Bibb County,Springdale Elementary School,
Bibb County,Union Elementary School,
Bibb County,Carter Elementary School,
Bibb County,Price Academy,
Bibb County,Northeast High School,
Bibb County,Weaver Middle School,
Bibb County,Rosa Taylor Elementary School,
Bibb County,Rutland High School,
Bibb County,Brookdale Elementary School,
Bibb County,Heritage Elementary School,
Bibb County,Howard High School,
Bibb County,Appling Middle School,
Bibb County,Academy For Classical Education,
Bibb County,Skyview Elementary School,
Bibb County,Ballard Hudson Middle School,
Bibb County,Ingram/Pye Elementary School,
Bibb County,Burdell Elementary School,
Bibb County,Bernd Elementary School,
Bibb County,Southfield Elementary School,
Bibb County,Bruce Elementary School,
Bibb County,Hartley Elementary School,
Bibb County,Martin Luther King Jr Elementary School,
Bibb County,Williams Elementary School,
Bibb County,Lane Elementary School,
Bibb County,Riley Elementary School,
Bibb County,Barden Elementary School,
Bibb County,Miller Magnet Middle School,
Bibb County,Alexander II Magnet School,
Bibb County,Central High School,
Bibb County,Macon Charter Academy,
Bibb County,Westside High School,
Bibb County,Howard Middle School,
Bibb County,Vineville Academy,
Bleckley County,Bleckley County Elementary School,86.83
Bleckley County,Bleckley County High School,54.23
Bleckley County,Bleckley County Primary School,86.84
Bleckley County,Bleckley County Success Academy,94.83
Bleckley County,Bleckley Middle School,61.55
Brantley County,Brantley County High School,67.26
Brantley County,Nahunta Elementary School,88.03
Brantley County,Atkinson Elementary School,88.02
Brantley County,Nahunta Primary School,88.01
Brantley County,Brantley County Middle School,88.1
Brantley County,Waynesville Primary School,87.89
Brantley County,Hoboken Elementary School,87.94
Bremen City,Bremen Middle School,21.8
Bremen City,Bremen 4th & 5th Grade Academy,26.53
Bremen City,Jones Elementary School,28.42
Bremen City,Bremen High School,19.1
Brooks County,Brooks County High School,
Brooks County,Brooks County Middle School,
Brooks County,North Brooks Elementary School,
Brooks County,Quitman Elementary School,
Bryan County,Bryan County Elementary School,69.49
Bryan County,Dr. George Washington Carver Elementary School,35.61
Bryan County,Richmond Hill Middle School,28.42
Bryan County,Richmond Hill Primary School,35.17
Bryan County,Lanier Primary School,71.91
Bryan County,McAllister Elementary School,10.91
Bryan County,Bryan County Middle School,70.07
Bryan County,Richmond Hill High School,24.17
Bryan County,Bryan County High School,67.73
Bryan County,Richmond Hill Elementary School,37.75
Buford City,Buford High School,34.18
Buford City,Buford Middle School,41.67
Buford City,Buford Academy,46.5
Buford City,Buford Elementary School,41.69
Bulloch County,Statesboro High School,58.96
Bulloch County,Langston Chapel Elementary School,88.87
Bulloch County,Stilson Elementary School,60
Bulloch County,Brooklet Elementary School,48.33
Bulloch County,Southeast Bulloch Middle School,50.97
Bulloch County,Nevils Elementary School,57.04
Bulloch County,Langston Chapel Middle School,82.6
Bulloch County,Portal Middle/High School,70.23
Bulloch County,William James Middle School,54.63
Bulloch County,Southeast Bulloch High School,43.94
Bulloch County,Mill Creek Elementary School,77.35
Bulloch County,Sallie Zetterower Elementary School,68.02
Bulloch County,Julia P. Bryant Elementary School,55.15
Bulloch County,Portal Elementary School,74.3
Bulloch County,Mattie Lively Elementary School,74.57
Burke County,Waynesboro Primary School,
Burke County,S G A Elementary School,
Burke County,Burke County Middle School,
Burke County,Burke County High School,
Burke County,Blakeney Elementary,
Butts County,Jackson High School,86.87
Butts County,Hampton L. Daughtry Elementary School,86.88
Butts County,Jackson Elementary School,87
Butts County,Stark Elementary School,86.86
Butts County,Henderson Middle School,86.87
Calhoun City,Calhoun Middle School,58.89
Calhoun City,Calhoun Elementary School,64.6
Calhoun City,Calhoun High School,50.65
Calhoun City,Calhoun Primary School,67.93
Calhoun County,Calhoun County High School,
Calhoun County,Calhoun County Elementary School,
Calhoun County,Calhoun County Middle School,
Camden County,Camden Middle School,55.74
Camden County,Mamie Lou Gross Elementary School,61.16
Camden County,David L Rainer Elementary School,58.53
Camden County,Saint Marys Middle School,48.6
Camden County,Sugarmill Elementary,46.67
Camden County,Crooked River Elementary School,51.65
Camden County,Camden County High School,45.44
Camden County,Mary Lee Clark Elementary School,43.75
Camden County,Woodbine Elementary School,67.12
Camden County,Saint Marys Elementary School,56.01
Camden County,Kingsland Elementary School,63.32
Camden County,Matilda Harris Elementary School,42.34
Candler County,Metter Intermediate School,77.62
Candler County,Metter Middle School,69.94
Candler County,Metter High School ,61.85
Candler County,Metter Elementary School,76.17
Carroll County,Ithica Elementary ,55.28
Carroll County,Temple Middle School,67.02
Carroll County,Whitesburg Elementary School,61.64
Carroll County,Bay Springs Middle School,66.32
Carroll County,Sharp Creek Elementary School,78.23
Carroll County,Temple High School,60.55
Carroll County,Central Elementary School,55.58
Carroll County,Temple Elementary School,72.98
Carroll County,Villa Rica Elementary School,72.71
Carroll County,Glanton-Hindsman Elementary,69.77
Carroll County,Bowdon Elementary School,71.29
Carroll County,Villa Rica High School,57.23
Carroll County,Mt. Zion High School,64.29
Carroll County,Sand Hill Elementary School,65.37
Carroll County,KidsPeace,
Carroll County,Mount Zion Elementary School,78.42
Carroll County,Central Middle School,59.42
Carroll County,Mt. Zion Middle School ,71.99
Carroll County,Providence Elementary School,56.81
Carroll County,Bowdon Middle School,62.1
Carroll County,Central High School,55.94
Carroll County,Villa Rica Middle,70.37
Carroll County,Roopville Elementary School,50.67
Carroll County,Bowdon High School,57
Carrollton City,Carrollton High School,45.91
Carrollton City,Carrollton Elementary School,67.88
Carrollton City,Carrollton Jr. High School,48.08
Carrollton City,Carrollton Middle-Upper Elementary School,59.6
Cartersville City,Cartersville High School,44.23
Cartersville City,Cartersville Middle School,55.53
Cartersville City,Cartersville Primary School,63.59
Cartersville City,Cartersville Elementary School,64
Catoosa County,Battlefield Elementary School,56.49
Catoosa County,Heritage Middle School,33.65
Catoosa County,Ringgold Primary School,47.91
Catoosa County,West Side Elementary School,74.4
Catoosa County,Cloud Springs Elementary School,75.79
Catoosa County,Heritage High School,33.06
Catoosa County,Graysville Elementary School,46.91
Catoosa County,Lakeview Middle School,70.28
Catoosa County,Boynton Elementary School,33.46
Catoosa County,Tiger Creek Elementary School,67.65
Catoosa County,Lakeview-Fort Oglethorpe High School,56.07
Catoosa County,Ringgold High School,43.46
Catoosa County,Battlefield Primary,55.53
Catoosa County,Ringgold Elementary School,48.13
Catoosa County,Woodstation Elementary School,47.01
Catoosa County,Ringgold Middle School,51.14
Charlton County,Charlton County High School,59.87
Charlton County,Folkston Elementary School,82.46
Charlton County,Bethune Middle School,72.96
Charlton County,St. George Elementary School,77.56
Chattahoochee County,Chattahoochee County High School,62.45
Chattahoochee County,Chattahoochee County Education Center,74.03
Chattahoochee County,Chattahoochee County Middle School,79.07
Chattooga County,Lyerly Elementary School,69.6
Chattooga County,Menlo Elementary School,60.24
Chattooga County,Chattooga Academy,81.58
Chattooga County,Summerville Middle School,88.15
Chattooga County,Chattooga High School,70.83
Chattooga County,Leroy Massey Elementary School,86.94
Cherokee County,Teasley Middle School,52.03
Cherokee County,Clayton Elementary School,39.18
Cherokee County,Arnold Mill Elementary School,22.25
Cherokee County,Creekland Middle School,16.86
Cherokee County,Sequoyah High School,22.59
Cherokee County,Hickory Flat Elementary School,12.95
Cherokee County,Mountain Road Elementary School,18.58
Cherokee County,Clark Creek Elementary School,46.86
Cherokee County,Dean Rusk Middle School,26.21
Cherokee County,William G. Hasty  Sr. Elementary School,83.02
Cherokee County,Woodstock Middle School,37.55
Cherokee County,Liberty Elementary School,23.34
Cherokee County,Freedom Middle School,15.31
Cherokee County,Carmel Elementary School,41.67
Cherokee County,Woodstock High School,25.27
Cherokee County,R. M. Moore Elementary School,50.4
Cherokee County,Mill Creek Middle School,26.75
Cherokee County,Macedonia Elementary School,12.6
Cherokee County,Little River Elem.,22.2
Cherokee County,Woodstock Elementary School,45.44
Cherokee County,Canton Elementary,86.24
Cherokee County,Holly Springs Elementary School,40.04
Cherokee County,Bascomb Elementary School,10.2
Cherokee County,E. T. Booth Middle School,28.6
Cherokee County,Oak Grove Elementary School,60.1
Cherokee County,Boston Elementary School,37.82
Cherokee County,J. Knox Elementary,28.35
Cherokee County,Sixes Elementary School,12.81
Cherokee County,Johnston Elementary School,37.07
Cherokee County,Etowah High School,22.77
Cherokee County,Ball Ground Elementary School,32.99
Cherokee County,Indian Knoll Elementary,31.97
Cherokee County,Free Home Elementary School,31.58
Cherokee County,Avery Elementary School,19.53
Cherokee County,Creekview High School,15.65
Cherokee County,Cherokee High School,38.73
Cherokee County,River Ridge High School,22.1
Chickamauga City,Chickamauga Elementary School,27.55
Chickamauga City,Gordon Lee Middle School,23.15
Chickamauga City,Gordon Lee High School,17.28
City Schools of Decatur,Renfroe Middle School,14.41
City Schools of Decatur,Clairemont Elementary School,31.07
City Schools of Decatur,Winnona Park Elementary School,6.31
City Schools of Decatur,Fifth Avenue Elementary,15.38
City Schools of Decatur,Westchester Elementary School,
City Schools of Decatur,Decatur High School,17.79
City Schools of Decatur,New Glennwood Elementary,15.09
City Schools of Decatur,Oakhurst Elementary School,
Clarke County,Winterville Elementary School,92.01
Clarke County,Clarke Middle School,92.06
Clarke County,Hilsman Middle School,92.13
Clarke County,Clarke Central High School,92.11
Clarke County,Alps Road Elementary School,92.23
Clarke County,Barrow Elementary School,92.04
Clarke County,Timothy Elementary School,92.04
Clarke County,Oglethorpe Avenue Elementary School,92.2
Clarke County,Chase Street Elementary School,92.07
Clarke County,Coile Middle School,92.07
Clarke County,Gaines Elementary School,92.11
Clarke County,Burney-Harris-Lyons Middle School,92.04
Clarke County,Barnett Shoals Elementary School,92.19
Clarke County,Cleveland Road Elementary School,92.16
Clarke County,Whit Davis Road Elementary School,92.06
Clarke County,Whitehead Road Elementary School,92.14
Clarke County,Classic City High School,92.31
Clarke County,Cedar Shoals High School,92.07
Clarke County,Fowler Drive Elementary School,92.07
Clarke County,Judia Jackson Harris Elementary,92.05
Clarke County,Howard B. Stroud Elementary School,92.11
Clay County,Clay County Middle School,
Clay County,Clay County Academies,
Clay County,Clay County Elementary,
Clayton County,Forest Park High School,
Clayton County,Riverdale Elementary School,
Clayton County,Harper Elementary School,
Clayton County,Lovejoy High School,
Clayton County,Lake City Elementary School,
Clayton County,Mundys Mill Middle School,
Clayton County,Thurgood Marshall Elementary School,
Clayton County,Adamson Middle School,
Clayton County,Callaway Elementary School,
Clayton County,Church Street Elementary School,
Clayton County,Anderson Elementary School,
Clayton County,Mount Zion Elementary School,
Clayton County,Mundy's Mill High School,
Clayton County,Morrow High School,
Clayton County,Elite Scholars Academy School,
Clayton County,Forest Park Middle School,
Clayton County,Haynie Elementary School,
Clayton County,Lake Ridge Elementary School,
Clayton County,Jonesboro Middle School,
Clayton County,West Clayton Elementary School,
Clayton County,East Clayton Elementary School,
Clayton County,M. D. Roberts Middle School,
Clayton County,Pointe South Elementary School,
Clayton County,Martin Luther King  Jr. Elementary School,
Clayton County,Unidos Dual Language School,
Clayton County,Arnold Elementary School,
Clayton County,North Clayton Middle School,
Clayton County,Mount Zion Primary,
Clayton County,Huie Elementary School,
Clayton County,Martha Ellen Stilwell School for the Performing Arts,
Clayton County,Tara Elementary School,
Clayton County,Edmonds Elementary School,
Clayton County,Riverdale High School,
Clayton County,Lovejoy Middle School,
Clayton County,Riverdale Middle School,
Clayton County,William M. McGarrah Elementary School,
Clayton County,Roberta T. Smith Elementary School,
Clayton County,James Jackson Elementary School,
Clayton County,Kemp Elem School,
Clayton County,Pointe South Middle School,
Clayton County,North Clayton High School,
Clayton County,Kilpatrick Elementary School,
Clayton County,Lee Street Elementary School,
Clayton County,Jonesboro High School,
Clayton County,Sequoyah Middle School,
Clayton County,Rex Mill Middle School,
Clayton County,Morrow Middle School,
Clayton County,Charles R. Drew High School,
Clayton County,Hawthorne Elementary School,
Clayton County,Brown Elementary School,
Clayton County,Northcutt Elementary School,
Clayton County,Fountain Elementary School,
Clayton County,Kemp Primary,
Clayton County,Swint Elementary School,
Clayton County,Morrow Elementary School,
Clayton County,Eddie White Academy,
Clayton County,River's Edge Elementary School,
Clayton County,Oliver Elementary School,
Clayton County,Suder Elementary School,
Clayton County,Kendrick Middle School,
Clayton County,Babb Middle School,
Clayton County,Mount Zion High School,
Clinch County,Clinch County Middle School,94.97
Clinch County,Clinch County High School,66.53
Clinch County,Clinch County Elementary School,
Cobb County,Chalker Elementary School,31.65
Cobb County,Green Acres Elementary School,
Cobb County,Z - International Academy of Smyrna,51.93
Cobb County,Sprayberry High School,40.36
Cobb County,Simpson Middle School,13.13
Cobb County,Argyle Elementary School,87.5
Cobb County,Osborne High School,78.95
Cobb County,Hightower Trail Middle School,6.22
Cobb County,Daniell Middle School,46.66
Cobb County,Mableton Elementary School,81.5
Cobb County,Teasley Elementary School,29.27
Cobb County,Eastvalley Elementary School,32.7
Cobb County,Murdock Elementary School,10.01
Cobb County,Barber Middle School,55.21
Cobb County,Ford Elementary School,6.93
Cobb County,Milford Elementary School,84.85
Cobb County,Lovinggood Middle School,23.87
Cobb County,McCleskey Middle School,36.79
Cobb County,Palmer Middle School,44.06
Cobb County,Powers Ferry Elementary School,84.06
Cobb County,Austell Elementary School,81.54
Cobb County,Campbell High School,57.36
Cobb County,Durham Middle School,13.58
Cobb County,Dickerson Middle School,
Cobb County,Sanders Elementary School,88.12
Cobb County,Lassiter High School,8.46
Cobb County,Mabry Middle School,9
Cobb County,Keheley Elementary School,23.57
Cobb County,McEachern High School,58.24
Cobb County,Hillgrove High School,20.55
Cobb County,Devereux Ackerman Academy,
Cobb County,Sope Creek Elementary School,5.42
Cobb County,Vaughan Elementary School,15.22
Cobb County,Still Elementary School,21.2
Cobb County,Baker Elementary School,41.79
Cobb County,Lost Mountain Middle School,10.71
Cobb County,Pebblebrook High School,72.7
Cobb County,Kennesaw Elementary School,43.56
Cobb County,Mountain View Elementary School,10.66
Cobb County,Walton High School,
Cobb County,Blackwell Elementary School,42.53
Cobb County,Kincaid Elementary School,19.18
Cobb County,Floyd Middle School,78.17
Cobb County,Belmont Hills Elementary School,93.18
Cobb County,Pine Mountain Middle School,49.51
Cobb County,Cheatham Hill Elementary School,37.11
Cobb County,East Cobb Middle School,63.5
Cobb County,Clay Elementary School,87.31
Cobb County,Mount Bethel Elementary School,
Cobb County,Kell High School,32.5
Cobb County,Nickajack Elementary School,40.22
Cobb County,Bullard Elementary School,22
Cobb County,Varner Elementary School,54.33
Cobb County,Big Shanty Elementary School,43.84
Cobb County,McClure Middle School,21.28
Cobb County,Kemp Elementary School,14.26
Cobb County,Bryant Elementary School,89.83
Cobb County,Lindley 6th Grade Academy,86.56
Cobb County,McCall Primary School,58.86
Cobb County,Addison Elementary School,31.31
Cobb County,Riverside Primary School,
Cobb County,Hayes Elementary School,59.81
Cobb County,Harrison High School,8.09
Cobb County,Griffin Middle School,74.73
Cobb County,Campbell Middle School,74.6
Cobb County,Compton Elementary School,87.81
Cobb County,Riverside Intermediate School,
Cobb County,Acworth Intermediate School,65.71
Cobb County,Powder Springs Elementary School,76.25
Cobb County,Bells Ferry Elementary School,43.15
Cobb County,Allatoona High School,18.36
Cobb County,East Side Elementary School,5.93
Cobb County,Garrison Mill Elementary School,7.1
Cobb County,Russell Elementary School,76.37
Cobb County,Smitha Middle School,84.16
Cobb County,Pickett's Mill Elementary,17.66
Cobb County,Tritt Elementary School,
Cobb County,Nicholson Elementary School,43.33
Cobb County,Brumby Elementary School,78.54
Cobb County,Fair Oaks Elementary School,
Cobb County,Smyrna Elementary School,69.78
Cobb County,Due West Elementary School,14.31
Cobb County,Kennesaw Charter School,28.22
Cobb County,Clarkdale Elementary School,84.46
Cobb County,Cooper Middle School,72.14
Cobb County,Kennesaw Mountain High School,29.4
Cobb County,Pitner Elementary School,45.31
Cobb County,Dowell Elementary School,71.33
Cobb County,Davis Elementary School,12.96
Cobb County,Awtrey Middle School,35.59
Cobb County,Sedalia Park Elementary School,61.89
Cobb County,Hendricks Elementary School,72.54
Cobb County,North Cobb High School,39.35
Cobb County,Hollydale Elementary School,85.02
Cobb County,Wheeler High School,45.44
Cobb County,Dodgen Middle School,5.76
Cobb County,Rocky Mount Elementary School,12.25
Cobb County,Shallowford Falls Elementary School,8.33
Cobb County,Pope High School,6.76
Cobb County,Lewis Elementary School,45.27
Cobb County,Garrett Middle School,88.42
Cobb County,Harmony-Leland Elementary School,64.91
Cobb County,Norton Park Elementary School,91.33
Cobb County,Birney Elementary School,86.45
Cobb County,Tapp Middle School,65.09
Cobb County,South Cobb High School,73.85
Cobb County,Lindley Middle School,91.79
Cobb County,Frey Elementary School,18.94
Cobb County,LaBelle Elementary School,94.23
Cobb County,King Springs Elementary School,31.12
Cobb County,Timber Ridge Elementary School,
Coffee County,George Washington Carver Freshman Campus,89.83
Coffee County,Westside Elementary School,89.8
Coffee County,Coffee County High School,59.55
Coffee County,Satilla Elementary School,89.49
Coffee County,Broxton-Mary Hayes Elementary,89.66
Coffee County,Eastside Elementary School,89.77
Coffee County,Indian Creek Elementary,89.79
Coffee County,Wiregrass Regional College and Career Academy,89.92
Coffee County,Coffee Middle School,89.69
Coffee County,Ambrose Elementary School ,90
Coffee County,West Green Elementary School,89.21
Coffee County,Nicholls Elementary School,89.74
Colquitt County,Wright Elementary School,
Colquitt County,Norman Park Elementary School,
Colquitt County,Colquitt County Achievement Center,
Colquitt County,Hamilton Elementary School,94.85
Colquitt County,Odom Elementary School,
Colquitt County,Willie J. Williams Middle School,94.97
Colquitt County,Sunset Elementary School,94.94
Colquitt County,Okapilco Elementary School,
Colquitt County,Colquitt County High School,
Colquitt County,Stringfellow Elementary School,
Colquitt County,Cox Elementary School,
Colquitt County,Funston Elementary School,
Colquitt County,Doerun Elementary School,
Colquitt County,CA Gray Junior High School,94.98
Columbia County,Evans High School,33.98
Columbia County,Stallings Island Middle School,15.12
Columbia County,Riverside Middle School,15.14
Columbia County,Blue Ridge Elementary School,32.96
Columbia County,Martinez Elementary School,53.4
Columbia County,Columbia Middle School,34.48
Columbia County,Baker Place Elementary,23.29
Columbia County,River Ridge Elementary,16.91
Columbia County,Harlem Middle School,52.73
Columbia County,South Columbia Elementary School,64.55
Columbia County,North Harlem Elementary School,63.67
Columbia County,Harlem High School,44.14
Columbia County,Greenbrier Middle School,11.77
Columbia County,Grovetown High School,36.95
Columbia County,Lewiston Elementary School,18.98
Columbia County,Greenbrier High School,8.8
Columbia County,Stevens Creek Elementary School,14.88
Columbia County,Cedar Ridge Elementary School,49.37
Columbia County,Riverside Elementary School,18.85
Columbia County,Grovetown Middle School,48.61
Columbia County,Brookwood Elementary School,52.86
Columbia County,Lakeside High School,25.34
Columbia County,Westmont Elementary School,49.06
Columbia County,Greenbrier Elementary School,9.18
Columbia County,Evans Middle School,38.05
Columbia County,Grovetown Elementary School,65.44
Columbia County,Lakeside Middle School,51.76
Columbia County,North Columbia Elementary School,35.67
Columbia County,Evans Elementary School,29.96
Columbia County,Euchee Creek Elementary School,48.3
Commerce City,Commerce Middle School,63.45
Commerce City,Commerce Elementary School,65.2
Commerce City,Commerce High School,54.46
Commerce City,Commerce Primary,72.91
Cook County,Cook Elementary School,84.06
Cook County,Cook High School,56.83
Cook County,Cook Primary School,
Cook County,Cook County Middle School,84.17
Coweta County,Arbor Springs Elementary,28.68
Coweta County,White Oak Elementary School,45.01
Coweta County,Atkinson Elementary School,65.7
Coweta County,East Coweta Middle School,41.8
Coweta County,Brooks Elementary,24.11
Coweta County,Western Elementary School,60.61
Coweta County,Ruth Hill Elementary School,78.75
Coweta County,Arnco-Sargent Elementary School,61.44
Coweta County,Smokey Road Middle School,65.79
Coweta County,Eastside Elementary School,46.12
Coweta County,Lee Middle School,30.79
Coweta County,Jefferson Parkway Elementary School,78.63
Coweta County,Welch Elementary School,60.15
Coweta County,Newnan High School,46.37
Coweta County,Elm Street Elementary School,47.84
Coweta County,Poplar Road Elementary School,48.31
Coweta County,Glanton Elementary,71.25
Coweta County,Newnan Crossing Elementary School,40.64
Coweta County,Moreland Elementary School,56.97
Coweta County,Evans Middle School,55.66
Coweta County,Thomas Crossroads Elementary School,26.02
Coweta County,Arnall Middle School,44.75
Coweta County,East Coweta High School,33.55
Coweta County,Madras Middle School,29.94
Coweta County,Canongate Elementary School,24.73
Coweta County,Willis Road Elementary,37.54
Coweta County,Northgate High School,23.87
Coweta County,Northside Elementary School,39.61
Crawford County,Crawford County Middle School,94.21
Crawford County,Crawford County High School,94.18
Crawford County,Crawford County Elementary School,94.16
